date,title,amount
2025-09-29,Elianeramos,34.00
2025-09-29,Posto Milhas,30.00
2025-09-29,Supermerc Gomes,80.71
2025-09-28,Concessionaria das Rod,5.50
2025-09-28,Google One,96.99
2025-09-28,Concessionaria das Rod,5.50
2025-09-27,Mercado Santo Antonio,11.20
2025-09-26,Barbeiro,35.00
2025-09-26,Minhocaburger,68.00
2025-09-26,Supermerc Gomes,140.83
2025-09-26,Juliocesar,36.57
2025-09-26,X do Brutus Restaurant,36.00
2025-09-25,Hortifruti Bom Gosto L,50.55
2025-09-25,Sao Joao Farmacias,4.99
2025-09-25,Rancho,65.30
2025-09-24,Hortifruti Bom Gosto L,58.41
2025-09-24,Padaria Sao Pedro,23.58
2025-09-24,X do Brutus Restaurant,36.00
2025-09-22,Desconto Antecipação Acessorio Patrulhense,-3.61
2025-09-22,Supermerc Gomes,9.76
2025-09-22,Padaria e Confeitaria,27.21
2025-09-22,Acessorio Patrulhense - Parcela 3/3,144.66
2025-09-22,Acessorio Patrulhense - Parcela 2/3,144.66
2025-09-22,Supermerc Gomes,88.61
2025-09-22,Pagamento recebido,-958.61
2025-09-22,Pagamento recebido,-2000.00
2025-09-21,Cia do Sabor,201.70
2025-09-20,Hortifruti Bom Gosto L,73.86
2025-09-20,Lancheria do Batista,20.00
2025-09-20,Mercearia Serrana,33.92
2025-09-20,Rede Tradicao F57 Ca,17.48
2025-09-18,Padaria e Confeitaria,1.87
2025-09-18,Hortifruti Bom Gosto L,47.99
2025-09-18,Ricky Lanches,26.16
2025-09-17,Hortifruti Bom Gosto L,72.77
2025-09-17,Santa Pausa Mais,4.99
2025-09-17,Restaurante Casa Nostr,9.00
2025-09-16,Mercado Santo Antonio,18.25
2025-09-16,A Lenha Pizzaria Santo,45.00
2025-09-15,Rede Farroupilha Gesta,253.32
2025-09-15,Minhocaburger,59.00
2025-09-15,Padaria e Confeitaria,26.22
2025-09-15,Mercado Santo Antonio,15.99
2025-09-13,Rei dos Doces Comercio,19.77
2025-09-13,Hortifruti Bom Gosto L,33.41
2025-09-13,Mercado Uniao Zeroum,13.28
2025-09-13,Carlos Henrique R de S,57.80
2025-09-12,Barbeiro,35.00
2025-09-12,Rei dos Doces Comercio,11.07
2025-09-12,34.927.026 Andrielli,3.50
2025-09-12,Supermerc Gomes,51.26
2025-09-12,Mercado Santo Antonio,5.70
2025-09-11,Carlos Henrique R de S,36.00
2025-09-11,Joicesabrina,5.25
2025-09-11,Joicesabrina,24.98
2025-09-10,Hortifruti Bom Gosto L,95.97
2025-09-09,Mercado Santo Antonio,4.64
2025-09-09,Festi Doce,7.50
2025-09-09,Marcio Pizzaria Sto An,62.90
2025-09-09,Mercado Santo Antonio,4.00
2025-09-09,Ricky Lanches,36.00
2025-09-08,Concessionaria das Rod,5.50
2025-09-07,Concessionaria das Rod,5.50
2025-09-07,Dudabella Pizzaria For,5.00
2025-09-07,Rede Farroupilha Gesta,119.80
2025-09-06,Fernandes Fernandes e,57.73
2025-09-06,Barbeiro,35.00
2025-09-05,Posto Marco Zero,9.98
2025-09-05,Hortifruti Bom Gosto L,38.75
2025-09-04,Mercearia Serrana,125.24
2025-09-04,Hortifruti Bom Gosto L,30.62
2025-09-04,Supermerc Gomes,403.93
2025-09-03,Acessorio Patrulhense - Parcela 1/3,144.68
2025-09-03,Mercado Uniao Zeroum,19.17
2025-09-02,Uber* Trip,11.91
2025-09-02,Uber Uber *Trip Help.U,8.97
2025-09-02,Adair J Muniz Pereira,23.12
2025-09-02,Mercado Santo Antonio,66.87
2025-09-01,Conta Vivo,71.71
2025-08-31,Pagamento recebido,-71.71
2025-08-31,Pagamento recebido,-3783.28
