date,title,amount
2024-12-30,Agroferragem Katia,12.00
2024-12-30,Pagamento recebido,-2000.00
2024-12-30,Mercado Uniao Zeroum,40.28
2024-12-29,Via Sul,5.50
2024-12-26,Buffon,123.80
2024-12-25,Hortifruti Bom Gosto L,95.22
2024-12-24,Mercado Santo Antonio,18.70
2024-12-24,Paygo*Barbearia Santo,35.00
2024-12-21,Supermerc Gomes,18.88
2024-12-21,Arcoflecha,45.00
2024-12-21,Supermerc Gomes,29.00
2024-12-21,Ricky Lanches,33.00
2024-12-21,Supermerc Gomes - Parcela 1/2,26.64
2024-12-21,Hortifruti Bom Gosto L,73.96
2024-12-20,Mauro da Silva,37.00
2024-12-20,X do Brutus Restaurant,33.00
2024-12-19,Mercado Santo Antonio,30.26
2024-12-19,Ricky Lanches,33.00
2024-12-18,X do Brutus Restaurant,33.00
2024-12-18,Juliocesar,12.99
2024-12-17,X do Brutus Restaurant,33.00
2024-12-17,Hortifruti Bom Gosto L,59.54
2024-12-16,Egr,6.30
2024-12-16,Rede Farroupilha Gesta,212.28
2024-12-16,Egr,6.30
2024-12-16,Padaria Lanz,34.77
2024-12-16,Restaurante Rota da Se,5.00
2024-12-14,Lojas Americanas,35.98
2024-12-14,Ricky Lanches,33.00
2024-12-14,Hortifruti Bom Gosto L,15.94
2024-12-13,Ricky Lanches,33.00
2024-12-13,Edz,27.00
2024-12-12,Mercado Santo Antonio,28.61
2024-12-12,X do Brutus Restauran,33.00
2024-12-11,Hortifruti Bom Gosto L,49.32
2024-12-11,Pg *Ton Nostra Pipoca,12.00
2024-12-10,Supermerc Gomes,34.48
2024-12-10,X do Brutus Restaurant,33.00
2024-12-09,Paulo Cezar Santos da,9.12
2024-12-09,Mercearia Serrana,37.60
2024-12-08,Xis Beleza,48.00
2024-12-07,Google One,38.99
2024-12-07,Prime Fit Academia - Parcela 1/12,54.23
2024-12-07,Hortifruti Bom Gosto L,51.98
2024-12-07,Uber Uber *Trip Help.U,10.09
2024-12-06,X do Brutus Restaurant,33.00
2024-12-05,Mercado Santo Antonio,17.49
2024-12-05,Juliocesar,14.99
2024-12-05,X do Brutus Restaurant,33.00
2024-12-04,Supermerc Gomes,11.11
2024-12-04,Mp *Arcoflecha,35.00
2024-12-04,Supermerc Gomes,302.39
2024-12-04,Fernandes Fernandes e,49.32
2024-12-04,Ricky Lanches,33.00
2024-12-03,X do Brutus Restaurant,33.00
2024-12-03,Pagamento recebido,-3227.00
2024-12-03,Posto Marco Zero,244.44
2024-12-03,Fernandes Fernandes e,7.08
2024-12-03,Mercado Santo Antonio,24.01
2024-12-03,Juliocesar,41.00
2024-12-01,Vivianchislinski,82.00
2024-11-30,Unesul 3 Cachoeiras - Parcela 2/2,26.00
2024-11-30,V L da Cunha e Cia - Parcela 9/10,12.49
2024-11-30,Hortifruti Bom Gosto L,48.68
2024-11-30,V L da Cunha e Cia - Parcela 9/10,33.19
2024-11-30,X do Brutus Restaurant,33.00
2024-11-30,Sao Joao Farmacias - Parcela 2/3,25.75
2024-11-30,Farmacia Sao Joao - Parcela 2/2,29.49
2024-11-30,Sao Joao Farmacias - Parcela 3/4,45.66
2024-11-30,Ândrei Nunes dos Santos,56.58
2024-11-30,Posto Marco Zero,50.00
