date,title,amount
2024-11-29,Ricky Lanches,33.00
2024-11-29,Lojas Americanas,4.75
2024-11-28,Pegue Pao Padaria e Co,10.24
2024-11-28,Ricky Lanches,33.00
2024-11-28,Mercado Santo Antonio,11.47
2024-11-28,Posto Marco Zero,58.90
2024-11-27,Ricky Lanches,38.00
2024-11-27,Hortifruti Bom Gosto L,25.12
2024-11-27,Mercado Santo Antonio,16.57
2024-11-26,Amazon,31.15
2024-11-26,Bazar Rodrigues,1.99
2024-11-26,Supermercadosasun,6.51
2024-11-26,Ricky Lanches,33.00
2024-11-26,Supermerc Gomes,6.04
2024-11-26,Rodrigues Comercio,24.99
2024-11-26,Posto Marco Zero,50.00
2024-11-25,Paulo Cezar Santos da,6.89
2024-11-23,Ricky Lanches,33.00
2024-11-23,Pegue Pao Padaria e Co,20.82
2024-11-23,Sao Joao Farmacias,35.97
2024-11-23,Posto Marco Zero,50.00
2024-11-23,Macrobala Distribuidor,12.26
2024-11-22,Comercialgrass,45.90
2024-11-22,Balzarete Valerio Mon,39.40
2024-11-22,Restaurante,9.50
2024-11-22,Acessorio Patrulhense,68.00
2024-11-22,Sim Bage Br153,26.56
2024-11-22,Unesul 3 Cachoeiras - Parcela 1/2,26.00
2024-11-21,Atacadaco,20.00
2024-11-21,Forno A Lenha,53.53
2024-11-21,Mercado Uniao Zeroum,62.50
2024-11-20,Supermerc Gomes,27.90
2024-11-20,Sim Eldorado Viaduto,11.98
2024-11-19,Via Sul,5.50
2024-11-19,Lancheriatiotoni,3.50
2024-11-19,Lancheriatiotoni,3.00
2024-11-19,Unesul Sao Marcos,45.55
2024-11-19,Posto Marco Zero,60.00
2024-11-19,Via Sul,5.50
2024-11-18,Cremolatto Santo Anton,3.75
2024-11-18,Cremolatto Santo Anton,3.75
2024-11-18,Cremolatto Santo Anton,7.49
2024-11-18,Cremolatto Santo Anton,12.74
2024-11-16,Hortifruti Bom Gosto L,14.00
2024-11-16,Hortifruti Bom Gosto L,42.49
2024-11-16,Mercearia Serrana,88.61
2024-11-16,Paulo Cezar Santos da,9.15
2024-11-15,Posto Marco Zero,58.90
2024-11-15,Ricky Lanches,40.00
2024-11-14,Sao Joao Farmacias - Parcela 1/3,25.75
2024-11-14,X do Brutus Restaurant,33.00
2024-11-14,Lojas Americanas,6.38
2024-11-14,Paygo*Barbearia Santo,35.00
2024-11-13,Ricky Lanches,33.00
2024-11-13,Farmacia Sao Joao - Parcela 1/2,29.50
2024-11-12,Mp *Arcoflecha,45.00
2024-11-12,Joicesabrina,14.99
2024-11-12,Supermerc Gomes,45.86
2024-11-11,Loja,7.99
2024-11-11,Ândrei Nunes dos Santos,56.58
2024-11-11,Mercearia Serrana,25.00
2024-11-11,Fernandes Fernandes e,16.87
2024-11-11,Supermerc Gomes,11.26
2024-11-10,Via Sul,5.50
2024-11-10,Via Sul,5.50
2024-11-09,Posto Marco Zero,117.80
2024-11-09,Mercado Santo Antonio,19.24
2024-11-09,Ricky Lanches,30.00
2024-11-09,Mercado Santo Antonio,9.99
2024-11-08,Hortifruti Bom Gosto L,6.26
2024-11-08,Ricky Lanches,30.00
2024-11-07,X do Brutus Restaurant,37.00
2024-11-07,Google One,38.99
2024-11-06,Ricky Lanches,30.00
2024-11-05,Pagamento recebido,-3842.00
2024-11-04,Supermerc Gomes,308.86
2024-11-04,Carrefour Nap Sto Anto,36.13
2024-11-04,Adair J Muniz Pereira,76.67
2024-11-03,Posto Milhas,121.80
2024-11-02,Fernandes Fernandes e,59.96
2024-11-02,Mercado Santo Antonio,23.98
2024-11-02,X do Brutus Restaurant,35.00
2024-11-02,Hortifruti Bom Gosto L,126.90
2024-11-01,Mercado Santo Antonio,4.18
2024-11-01,Mercado Uniao Zeroum,6.60
2024-11-01,Ricky Lanches,30.00
2024-10-31,Hotel Recanto Maestro - Parcela 10/10,138.00
2024-10-31,Sao Joao Farmacias - Parcela 2/4,45.66
2024-10-31,Rede Farroupilha Gesta,58.90
2024-10-31,Ricky Lanches,30.00
2024-10-31,Comercial de Utilidade - Parcela 2/2,24.00
2024-10-31,V L da Cunha e Cia - Parcela 8/10,12.49
2024-10-31,V L da Cunha e Cia - Parcela 8/10,33.19
