date,title,amount
2025-10-30,Mercado Santo Antonio,9.28
2025-10-29,Barbeiro,35.00
2025-10-29,Hortifruti Bom Gosto L,49.27
2025-10-28,Mercado Santo Antonio,4.00
2025-10-28,Mercado Santo Antonio,76.46
2025-10-26,Minhocaburger,59.00
2025-10-25,Mercearia Serrana,38.66
2025-10-25,Ricky Lanches,24.65
2025-10-25,Supermerc Gomes,79.99
2025-10-25,Xis Beleza,40.00
2025-10-24,Mercado Santo Antonio,44.64
2025-10-23,X do Brutus Restaurant,36.00
2025-10-23,A Lenha Pizzaria Santo,89.10
2025-10-23,Bazar Rodrigues,8.47
2025-10-23,Mercado Uniao Zeroum,30.86
2025-10-23,Barbeiro,35.00
2025-10-23,Panvel Farmacias,6.99
2025-10-23,Joicesabrina,45.48
2025-10-22,X do Brutus Restaurant,36.00
2025-10-22,Mercado Santo Antonio,12.99
2025-10-21,Rancho,54.66
2025-10-21,Adair J Muniz Pereira,15.75
2025-10-21,Fernandes Fernandes e,20.81
2025-10-18,Hortifruti Bom Gosto L,42.52
2025-10-18,A Lenha Pizzaria Santo,66.96
2025-10-18,Mercado Santo Antonio,11.99
2025-10-18,Lojas Americanas,16.99
2025-10-18,Cremolatto Santo Anton,31.49
2025-10-18,Industria de Doces Sel,31.50
2025-10-18,Supermerc Gomes,113.93
2025-10-17,Mercearia Serrana,67.17
2025-10-16,Supermerc Gomes,165.86
2025-10-16,Mini Mercado 3 Irmaos,5.49
2025-10-16,Minhocaburger,68.00
2025-10-15,Barbeiro,35.00
2025-10-15,Posto Milhas,263.05
2025-10-15,Livraria Abc M,3.00
2025-10-15,Mercado Uniao Zeroum,20.75
2025-10-14,Panvel Farmacias,4.99
2025-10-14,Sao Joao Farmacias,12.99
2025-10-13,Egr,6.30
2025-10-13,Egr,6.30
2025-10-13,Posto Jocimar,10.00
2025-10-11,Ricky Lanches,37.00
2025-10-11,Supermerc Gomes,2.08
2025-10-11,Supermerc Gomes,171.64
2025-10-11,Lancheriaok,25.00
2025-10-10,Mercado Uniao Zeroum,5.88
2025-10-10,Ricky Lanches,36.00
2025-10-10,Mercado Santo Antonio,15.99
2025-10-09,Posto Marco Zero,4.99
2025-10-09,Vanderleijosedoss,11.00
2025-10-09,Barbeiro,35.00
2025-10-08,Hortifruti Bom Gosto L,57.79
2025-10-08,Mercado Uniao Zeroum,21.73
2025-10-08,X do Brutus Restaurant,36.00
2025-10-08,Hortifruti Bom Gosto L,23.64
2025-10-07,Panvel Farmacias,8.98
2025-10-07,Farmacia Sao Joao,35.80
2025-10-06,Padaria e Confeitaria,24.00
2025-10-05,Pagamento recebido,-819.13
2025-10-05,Concessionaria das Rod,5.50
2025-10-05,Dudabella Pizzaria For,115.00
2025-10-05,Concessionaria das Rod,5.50
2025-10-04,Supermerc Gomes,264.26
2025-10-04,Rancho,54.65
2025-10-03,Supermerc Gomes,112.45
2025-10-03,Supermerc Gomes,15.36
2025-10-02,Lojas Americanas,4.78
2025-10-02,X do Brutus Restaurant,36.00
2025-10-01,Hortifruti Bom Gosto L,48.74
2025-10-01,Farmacia Sao Joao,15.90
2025-10-01,Mercado Uniao Zeroum,25.86
2025-10-01,Posto Marco Zero,243.73
2025-09-30,Mercado Santo Antonio,7.57
2025-09-30,Panvel Farmacias,4.99
2025-09-30,Mercado Uniao Zeroum,1.36
2025-09-30,Gasbomprincipio,128.00
2025-09-30,Mercado Santo Antonio,5.56
