date,title,amount
2025-12-29,Supermerc Gomes,45.96
2025-12-28,Pagamento recebido,-3618.68
2025-12-28,Google One,49.99
2025-12-27,Ricky Lanches,36.00
2025-12-27,Hortifruti Bom Gosto L,76.72
2025-12-27,Mercado Uniao Zeroum,11.05
2025-12-27,Mercado Santo Antonio,57.85
2025-12-25,Posto Marco Zero,119.80
2025-12-25,Mercado Santo Antonio,22.94
2025-12-24,Supermerc Gomes,119.99
2025-12-24,Macrobala Distribuidor,50.41
2025-12-24,Carlos Henrique R de S,36.00
2025-12-23,Carlos Henrique R de S,36.00
2025-12-20,Rancho,57.75
2025-12-20,Mercado Santo Antonio,17.96
2025-12-20,M.P. Coelho Tintas L - Parcela 1/4,53.09
2025-12-20,Lp Recargas,45.59
2025-12-20,Supermerc Gomes,93.51
2025-12-20,Mercearia Serrana,23.90
2025-12-20,63 24 793 Rafael Alten,7.90
2025-12-20,Disom,38.90
2025-12-20,Barbeiro,35.00
2025-12-19,Hortifruti Bom Gosto L,40.61
2025-12-18,Uber Uber *Trip Help.U,11.91
2025-12-17,Mercado Santo Antonio,45.26
2025-12-16,Minhocaburger,247.00
2025-12-16,Rancho,36.40
2025-12-16,Carlos Henrique R de S,24.00
2025-12-16,Hortifruti Bom Gosto L,63.39
2025-12-15,Supermerc Gomes,31.22
2025-12-12,Google Youtube,53.90
2025-12-12,Hortifruti Bom Gosto L,40.99
2025-12-11,Carlos Henrique R de S,71.80
2025-12-11,Supermerc Gomes,71.57
2025-12-10,Hortifruti Bom Gosto L,46.63
2025-12-10,Uber Uber *Trip Help.U,8.92
2025-12-10,Ricky Lanches,36.00
2025-12-10,Barbeiro,35.00
2025-12-09,Pagamento recebido,-3627.19
2025-12-09,Juros de dívida encerrada,86.96
2025-12-09,Encerramento de dívida,-86.96
2025-12-09,IOF de atraso,14.13
2025-12-09,Multa de atraso,72.82
2025-12-09,Prime Fit Academia - Parcela 1/12,38.24
2025-12-09,Posto Milhas,309.06
2025-12-09,Elianeramos,8.00
2025-12-09,Posto Milhas,69.00
2025-12-08,Crédito de atraso,-3627.19
2025-12-08,Encerramento de dívida,0.00
2025-12-08,Estorno de juros da dívida encerrada,0.00
2025-12-08,Saldo em atraso,3627.19
2025-12-08,Mp *Xbeleza,44.00
2025-12-08,Padaria e Confeitaria,14.84
2025-12-07,Recanto da Lagoa,3.00
2025-12-07,Mercado Santo Antonio,65.90
2025-12-06,Giovani Muniz Pinto,18.50
2025-12-06,Hortifruti Bom Gosto L,91.16
2025-12-06,Rede Farroupilha Gesta,50.00
2025-12-06,Rancho,34.90
2025-12-06,Amazonmktplc*Brasilvip - Parcela 1/2,49.43
2025-12-06,Carlos Henrique R de S,38.00
2025-12-05,Carlos Henrique R de S,83.00
2025-12-04,Joice Sabrina Mendes,48.32
2025-12-04,Carlos Henrique R de S,36.00
2025-12-04,Supermerc Gomes,248.37
2025-12-03,Posto Marco Zero,4.99
2025-12-03,Carlos Henrique R de S,36.00
2025-12-03,Posto Milhas,50.00
2025-12-02,Adair J Muniz Pereira,13.98
2025-12-02,Hortifruti Bom Gosto L,86.33
2025-12-01,Supermerc Gomes,3.49
2025-12-01,Supermerc Gomes,36.60
2025-11-30,Carlos Henrique R de S,149.70
