date,title,amount
2025-03-14,Mercado Santo Antonio,3.29
2025-03-14,Mercado Santo Antonio,13.5
2025-03-14,Posto Marco Zero,125.0
2025-03-14,Ricky Lanches,40.5
2025-03-15,Ricky Lanches,33.0
2025-03-15,Supermerc Gomes,144.72
2025-03-17,Farmacia Sao Joao,16.89
2025-03-17,Mercado Uniao Zeroum,17.02
2025-03-18,Joicesabrina,46.97
2025-03-18,Ricky Lanches,33.0
2025-03-18,Supermerc Gomes,16.87
2025-03-19,Carlos Henrique R de S,33.0
2025-03-19,Mercado Uniao Zeroum,73.58
2025-03-20,Boa Viagem,123.0
2025-03-20,Mercado Santo Antonio,3.29
2025-03-20,Mercado Uniao Zeroum,22.47
2025-03-20,Ricky Lanches,47.0
2025-03-21,Ricky Lanches,33.0
2025-03-21,Supermerc Gomes,10.89
2025-03-21,Supermerc Gomes,16.14
2025-03-22,Barbeiro,35.0
2025-03-22,Cristianenunes,70.74
2025-03-22,Hortifruti Bom Gosto L,47.2
2025-03-22,Ricky Lanches,40.0
2025-03-22,Via Sul,5.5
2025-03-25,Fernandes Fernandes e,28.87
2025-03-25,Google Gsuite_ribasrod,50.0
2025-03-25,Mercado Santo Antonio,40.65
2025-03-25,Ricky Lanches,33.0
2025-03-26,"IOF de ""One.Com""",1.6
2025-03-26,Mercado Santo Antonio,6.99
2025-03-26,Mercado Uniao Zeroum,33.74
2025-03-26,One.Com,47.36
2025-03-26,Posto Milhas,50.0
2025-03-26,Ricky Lanches,35.0
2025-03-27,Ricky Lanches,33.0
2025-03-27,Supermerc Gomes,47.11
2025-03-28,Joao D Avila da Silva,2.5
2025-03-28,Mercado Santo Antonio,16.47
2025-03-28,Padariasanta,9.3
2025-03-28,Rede Farroupilha Gesta,50.0
2025-03-28,Ricky Lanches,33.0
2025-03-29,Mercado Uniao Zeroum,7.56
2025-03-29,Ricky Lanches,33.0
2025-03-29,Supermerc Gomes,113.99
2025-03-30,Minhocaburger,52.0
2025-03-30,Posto Milhas,50.0
2025-03-30,Supermerc Gomes,81.19
2025-03-31,Egr,6.3
2025-03-31,Pg *Xgrow - Parcela 4/12,299.7
2025-03-31,Posto Marco Zero - Parcela 4/6,48.99
2025-03-31,Prime Fit Academia - Parcela 4/12,29.99
2025-03-31,Prime Fit Academia - Parcela 5/12,54.15
2025-03-31,da Casa Alimentos,17.3
2025-04-01,Posto Marco Zero,125.8
2025-04-01,Ricky Lanches,33.0
2025-04-02,Adair J Muniz Pereira,17.99
2025-04-02,Mercado Uniao Zeroum,24.44
2025-04-02,Ricky Lanches,33.0
2025-04-04,Carrefour Nap Sto Anto,20.56
2025-04-04,Mercearia Serrana,70.53
2025-04-04,Ricky Lanches,66.0
2025-04-04,Supermerc Gomes,356.02
2025-04-05,Hortifruti Bom Gosto L,3.84
2025-04-05,Hortifruti Bom Gosto L,66.31
2025-04-05,Lojas Americanas,4.49
2025-04-05,Mercado Santo Antonio,33.29
2025-04-05,Posto Milhas,127.8
2025-04-05,Ricky Lanches,33.0
2025-04-06,Confrariadopaosap,5.0
2025-04-06,Confrariadopaosap,11.52
2025-04-07,Adair J Muniz Pereira,25.31
2025-04-07,Carlos Henrique R de S,85.0
2025-04-08,Google One,49.99
2025-04-08,Posto Marco Zero,5.99
2025-04-08,Ricky Lanches,33.0
2025-04-09,Mercado Uniao Zeroum,29.44
2025-04-09,Minhocaburger,98.0
2025-04-09,Naracardoso,27.9
2025-04-09,Radio Center Radiologi,45.0
2025-04-10,Ricky Lanches,66.0
2025-04-10,Supermerc Gomes,27.5
2025-04-11,Carlos Henrique R de S,33.0
2025-04-11,Paygo*Barbearia Santo,35.0
2025-04-12,Buffon,4.99
2025-04-12,Hortifruti Bom Gosto L,71.1
2025-04-12,Joice Sabrina Mendes,49.88
2025-04-12,Mercado Uniao Zeroum,18.08
2025-04-12,Posto Milhas,316.1
2025-04-12,Ricky Lanches,33.0
2025-04-14,Xbeleza,58.0
2025-04-15,Hortifruti Bom Gosto L,35.45
2025-04-16,Carlos Henrique R de S,66.0
2025-04-17,A Lenha Pizzaria Santo,80.0
